Num Chambers,Path Length
3,4.499999999999998
3,50.0
3,9.000000000000002
3,4.999999999999995
3,14.500000000000007
3,49.99999999999999
3,5.000000000000003
3,5.0
3,9.500000000000004
3,4.499999999999997
3,0.9999999999999999
3,2.5000000000000027
3,0.0
3,43.0
3,9.0
3,5.999999999999999
3,2.5000000000000004
3,2.4999999999999987
3,5.5
3,49.99999999999998
3,11.0
3,50.0
3,18.000000000000007
3,8.999999999999996
3,1.5
3,9.999999999999995
3,16.000000000000007
3,0.0
3,50.0
3,0.5000000000000008
3,2.500000000000002
3,49.999999999999986
3,15.000000000000004
3,5.000000000000003
3,8.499999999999998
3,11.999999999999998
3,49.99999999999999
3,50.000000000000014
3,0.0
3,49.999999999999986
3,5.999999999999997
3,49.99999999999999
3,24.0
3,50.0
3,0.0
3,0.49999999999999944
3,0.999999999999998
3,1.4999999999999991
3,5.999999999999999
3,4.999999999999999
3,6.499999999999994
3,7.500000000000003
3,4.000000000000005
3,0.0
3,7.000000000000001
3,50.00000000000001
3,1.0000000000000004
3,49.99999999999998
3,50.0
3,2.5
3,9.5
3,0.0
3,7.999999999999998
3,6.000000000000004
3,3.500000000000001
3,0.9999999999999979
3,50.00000000000001
3,0.0
3,0.0
3,50.0
3,8.5
3,5.500000000000002
3,50.0
3,8.999999999999998
3,50.00000000000001
3,49.999999999999986
3,5.000000000000002
3,48.00000000000001
3,5.9999999999999964
3,6.499999999999999
3,49.99999999999999
3,3.4999999999999964
3,5.499999999999998
3,49.99999999999999
3,4.499999999999995
3,50.0
3,4.000000000000002
3,5.499999999999998
3,13.999999999999998
3,0.0
3,49.999999999999986
3,3.500000000000001
3,0.9999999999999998
3,49.99999999999999
3,6.000000000000005
3,50.0
3,2.4999999999999996
3,50.0
3,11.0
3,50.0
4,19.500000000000014
4,15.499999999999996
4,8.999999999999998
4,23.499999999999996
4,14.500000000000002
4,50.0
4,9.999999999999998
4,5.0000000000000036
4,8.500000000000002
4,4.500000000000005
4,1.0000000000000002
4,1.4999999999999993
4,0.0
4,50.0
4,8.499999999999998
4,5.000000000000002
4,1.999999999999998
4,2.4999999999999996
4,4.999999999999999
4,49.99999999999999
4,10.0
4,50.00000000000001
4,8.499999999999996
4,8.999999999999996
4,1.5000000000000009
4,7.999999999999995
4,21.500000000000007
4,0.0
4,50.0
4,0.5
4,2.5000000000000013
4,50.000000000000014
4,28.0
4,4.499999999999997
4,9.499999999999998
4,6.0
4,50.0
4,22.499999999999996
4,0.0
4,50.0
4,21.0
4,50.0
4,13.5
4,50.0
4,0.0
4,0.5000000000000006
4,0.9999999999999994
4,1.4999999999999982
4,5.000000000000002
4,4.000000000000002
4,6.500000000000011
4,50.0
4,3.500000000000001
4,0.0
4,7.000000000000001
4,50.0
4,1.0
4,49.99999999999999
4,50.0
4,2.499999999999999
4,9.499999999999996
4,0.0
4,50.0
4,5.499999999999999
4,3.4999999999999996
4,1.0000000000000004
4,50.0
4,0.0
4,0.0
4,49.99999999999999
4,9.999999999999993
4,4.999999999999999
4,50.0
4,9.5
4,50.0
4,50.00000000000001
4,5.499999999999992
4,36.5
4,5.999999999999996
4,14.5
4,50.0
4,27.999999999999993
4,5.500000000000001
4,50.0
4,3.5
4,50.0
4,4.500000000000001
4,5.499999999999998
4,11.99999999999999
4,0.0
4,50.00000000000001
4,2.9999999999999987
4,1.000000000000001
4,50.0
4,7.0
4,50.0
4,2.4999999999999973
4,50.0
4,12.500000000000002
4,7.0000000000000036
6,5.500000000000003
6,38.49999999999997
6,8.499999999999998
6,4.499999999999998
6,25.99999999999999
6,50.000000000000014
6,3.5000000000000004
6,4.999999999999996
6,9.0
6,5.000000000000004
6,1.0000000000000002
6,2.000000000000001
6,0.0
6,11.499999999999996
6,9.499999999999998
6,7.5000000000000036
6,2.000000000000001
6,2.5
6,5.000000000000002
6,49.999999999999986
6,9.500000000000002
6,50.000000000000014
6,8.500000000000004
6,9.0
6,0.9999999999999989
6,7.499999999999993
6,22.499999999999993
6,0.0
6,49.999999999999986
6,0.5
6,2.4999999999999982
6,49.99999999999999
6,18.500000000000004
6,12.500000000000004
6,9.000000000000002
6,4.999999999999998
6,50.0
6,13.0
6,0.0
6,50.0
6,11.0
6,50.0
6,27.0
6,43.0
6,0.0
6,0.49999999999999917
6,0.9999999999999984
6,1.500000000000001
6,5.5
6,4.000000000000002
6,7.499999999999999
6,20.5
6,3.499999999999999
6,0.0
6,6.999999999999998
6,50.0
6,0.9999999999999998
6,49.999999999999986
6,49.99999999999999
6,2.499999999999999
6,9.999999999999996
6,0.0
6,19.999999999999996
6,5.499999999999999
6,3.5000000000000018
6,1.0000000000000007
6,50.0
6,0.0
6,0.0
6,49.99999999999999
6,9.000000000000004
6,4.999999999999998
6,49.999999999999986
6,11.5
6,4.499999999999998
6,50.0
6,4.999999999999996
6,31.499999999999993
6,6.500000000000002
6,10.999999999999998
6,50.0
6,2.5000000000000027
6,5.499999999999997
6,50.0
6,4.0
6,49.999999999999986
6,4.0
6,5.500000000000002
6,12.000000000000002
6,0.0
6,50.00000000000001
6,3.0000000000000004
6,0.9999999999999993
6,50.000000000000014
6,7.499999999999995
6,50.00000000000001
6,2.999999999999996
6,50.0
6,11.500000000000004
6,11.000000000000004

Num Chambers,Excluded Paths Count
3,42
4,39
6,37
